lambda,x,density
4.0,-2.874874874874875,0.19851512826595763
4.0,-2.8588588588588593,0.19817829658518768
4.0,-2.8428428428428427,0.1977912939996821
4.0,-2.826826826826827,0.19735441681323196
4.0,-2.8108108108108105,0.19686799904848837
4.0,-2.794794794794795,0.1963324120214325
4.0,-2.778778778778779,0.1957480638690809
4.0,-2.7627627627627627,0.19511539903126643
4.0,-2.746746746746747,0.19443489768741828
4.0,-2.7307307307307305,0.19370707514933852
4.0,-2.714714714714715,0.1929324812110528
4.0,-2.698698698698699,0.1921116994568818
4.0,-2.6826826826826826,0.19124534652895533
4.0,-2.666666666666667,0.19033407135545463
4.0,-2.6506506506506504,0.18937855434093626
4.0,-2.6346346346346348,0.18837950652015278
4.0,-2.618618618618619,0.18733766867684232
4.0,-2.6026026026026026,0.18625381042901734
4.0,-2.586586586586587,0.1851287292823338
4.0,-2.5705705705705704,0.18396324965316893
4.0,-2.5545545545545547,0.1827582218630855
4.0,-2.538538538538538,0.18151452110639538
4.0,-2.5225225225225225,0.1802330463925801
4.0,-2.506506506506507,0.1789147194653522
4.0,-2.4904904904904903,0.17756048370017882
4.0,-2.4744744744744747,0.17617130298210848
4.0,-2.458458458458458,0.1747481605657676
4.0,-2.4424424424424425,0.1732920579194117
4.0,-2.426426426426427,0.17180401355492725
4.0,-2.4104104104104103,0.17028506184569392
4.0,-2.3943943943943946,0.16873625183422114
4.0,-2.378378378378378,0.16715864603147418
4.0,-2.3623623623623624,0.16555331920980698
4.0,-2.3463463463463468,0.16392135719140782
4.0,-2.33033033033033,0.1622638556341603
4.0,-2.3143143143143146,0.16058191881680473
4.0,-2.298298298298298,0.15887665842526857
4.0,-2.2822822822822824,0.15714919234201777
4.0,-2.2662662662662667,0.15540064344025006
4.0,-2.25025025025025,0.15363213838473033
4.0,-2.2342342342342345,0.15184480644103351
4.0,-2.218218218218218,0.1500397782949254
4.0,-2.2022022022022023,0.1482181848835793
4.0,-2.1861861861861867,0.14638115624027884
4.0,-2.17017017017017,0.14452982035422135
4.0,-2.1541541541541545,0.14266530204698522
4.0,-2.138138138138138,0.14078872186717678
4.0,-2.1221221221221223,0.13890119500472417
4.0,-2.1061061061061057,0.13700383022622717
4.0,-2.09009009009009,0.13509772883272203
4.0,-2.0740740740740744,0.13318398364115686
4.0,-2.058058058058058,0.13126367799081914
4.0,-2.042042042042042,0.12933788477589198
4.0,-2.0260260260260257,0.12740766550525345
4.0,-2.01001001001001,0.1254740693905723
4.0,-1.9939939939939944,0.12353813246368327
4.0,-1.9779779779779778,0.12160087672416328
4.0,-1.9619619619619622,0.11966330931796061
4.0,-1.9459459459459456,0.11772642174785997
4.0,-1.92992992992993,0.1157911891165022
4.0,-1.9139139139139143,0.113858569402603
4.0,-1.8978978978978978,0.11192950277095155
4.0,-1.881881881881882,0.11000491091669766
4.0,-1.8658658658658656,0.10808569644436651
4.0,-1.84984984984985,0.10617274228197629
4.0,-1.8338338338338342,0.10426691113055879
4.0,-1.8178178178178177,0.10236904494932254
4.0,-1.801801801801802,0.1004799644766266
4.0,-1.7857857857857855,0.09860046878686753
4.0,-1.7697697697697699,0.09673133488332104
4.0,-1.7537537537537542,0.09487331732690989
4.0,-1.7377377377377377,0.09302714790081261
4.0,-1.721721721721722,0.09119353531076388
4.0,-1.7057057057057055,0.08937316492083601
4.0,-1.6896896896896898,0.08756669852443846
4.0,-1.6736736736736741,0.08577477415020865
4.0,-1.6576576576576576,0.08399800590241947
4.0,-1.641641641641642,0.08223698383547227
4.0,-1.6256256256256254,0.08049227386199351
4.0,-1.6096096096096097,0.07876441769400802
4.0,-1.593593593593594,0.07705393281661023
4.0,-1.5775775775775776,0.0753613124935154
4.0,-1.561561561561562,0.07368702580382742
4.0,-1.5455455455455454,0.07203151770932056
4.0,-1.5295295295295297,0.07039520915149775
4.0,-1.5135135135135132,0.06877849717764761
4.0,-1.4974974974974975,0.06718175509509662
4.0,-1.4814814814814818,0.0656053326528152
4.0,-1.4654654654654653,0.0640495562495151
4.0,-1.4494494494494496,0.06251472916734623
4.0,-1.433433433433433,0.06100113183027811
4.0,-1.4174174174174174,0.059509022086234084
4.0,-1.4014014014014018,0.05803863551202304
4.0,-1.3853853853853852,0.05659018574010281
4.0,-1.3693693693693696,0.055163864806192855
4.0,-1.353353353353353,0.053759843516743136
4.0,-1.3373373373373374,0.05237827183525998
4.0,-1.3213213213213217,0.05101927928647936
4.0,-1.3053053053053052,0.04968297537737776
4.0,-1.2892892892892895,0.048369450034006674
4.0,-1.273273273273273,0.047078774053136575
4.0,-1.2572572572572573,0.04581099956770117
4.0,-1.2412412412412417,0.04456616052503321
4.0,-1.2252252252252251,0.043344273176893204
4.0,-1.2092092092092095,0.042145336580297905
4.0,-1.193193193193193,0.04096933310816561
4.0,-1.1771771771771773,0.03981622896880933
4.0,-1.1611611611611616,0.038685974733318314
4.0,-1.145145145145145,0.037578505869887334
