schedule,sigma,mse,mode_error
linear_gamma_as_ve,0.5688240790856355,0.20236670970916748,0.00390625
linear_gamma_as_ve,0.6262722407307354,0.23259392380714417,0.00390625
linear_gamma_as_ve,0.6895223566139651,0.3146182894706726,0.013671875
linear_gamma_as_ve,0.7591603927961601,0.32251185178756714,0.015625
linear_gamma_as_ve,0.8358314947474289,0.42741915583610535,0.021484375
linear_gamma_as_ve,0.9202459641480578,0.48399871587753296,0.037109375
linear_gamma_as_ve,1.0131858393140483,0.635353684425354,0.044921875
linear_gamma_as_ve,1.1155121402101058,0.7286496758460999,0.05859375
linear_gamma_as_ve,1.2281728451698428,0.8674384355545044,0.0703125
linear_gamma_as_ve,1.3522116732216651,1.0632163286209106,0.095703125
linear_gamma_as_ve,1.4887777533821611,1.3646607398986816,0.12109375
linear_gamma_as_ve,1.6391362704959387,1.5561342239379883,0.134765625
linear_gamma_as_ve,1.804680186247825,1.4445010423660278,0.123046875
linear_gamma_as_ve,1.9869431439340202,1.836113452911377,0.14453125
linear_gamma_as_ve,2.18761367654549,2.265125036239624,0.1796875
linear_gamma_as_ve,2.4085508497910983,2.5760507583618164,0.2265625
linear_gamma_as_ve,2.651801484981615,2.8342254161834717,0.2421875
linear_gamma_as_ve,2.9196191213320715,2.8515892028808594,0.234375
linear_gamma_as_ve,3.21448489335428,2.671111822128296,0.22265625
linear_gamma_as_ve,3.5391305167533327,3.5957844257354736,0.291015625
linear_gamma_as_ve,3.896563595775542,3.845198154449463,0.28125
linear_gamma_as_ve,4.290095486461946,4.17344331741333,0.349609375
linear_gamma_as_ve,4.723371973940028,4.690841197967529,0.359375
linear_gamma_as_ve,5.200407047956278,4.414725303649902,0.36328125
linear_gamma_as_ve,5.72562008955526,4.695553779602051,0.3671875
linear_gamma_as_ve,6.303876813412554,4.794438362121582,0.353515625
linear_gamma_as_ve,6.940534345122285,5.060300350189209,0.38671875
linear_gamma_as_ve,7.6414908510474175,4.932788372039795,0.3984375
linear_gamma_as_ve,8.413240180517057,4.973231315612793,0.392578125
linear_gamma_as_ve,9.262932026590663,5.02769660949707,0.431640625
linear_gamma_as_ve,10.198438162734806,5.166620254516602,0.421875
linear_gamma_as_ve,11.228425369046683,4.649527549743652,0.4140625
linear_gamma_as_ve,12.362435723632643,4.98481559753418,0.439453125
linear_gamma_as_ve,13.610975002982464,4.8654046058654785,0.423828125
linear_gamma_as_ve,14.985610010304342,4.860122203826904,0.4375
