schedule,seed,sigma,mse,bayes_mse,excess_mse,mode_error
cosine_vp_as_ve,20260526,0.5688240790856355,0.16256994009017944,0.1584998369216919,0.004383975639939308,0.00341796875
cosine_vp_as_ve,20260526,0.6262722407307354,0.18671810626983643,0.18181656301021576,0.004830729216337204,0.00634765625
cosine_vp_as_ve,20260526,0.6895223566139651,0.22648486495018005,0.2209252119064331,0.004955407232046127,0.0126953125
cosine_vp_as_ve,20260526,0.7591603927961601,0.2686009109020233,0.265751451253891,0.0060424902476370335,0.015625
cosine_vp_as_ve,20260526,0.8358314947474289,0.3263922929763794,0.32339364290237427,0.007818191312253475,0.020263671875
cosine_vp_as_ve,20260526,0.9202459641480578,0.39669105410575867,0.3843282461166382,0.011312451213598251,0.029052734375
cosine_vp_as_ve,20260526,1.0131858393140483,0.5027718544006348,0.48945116996765137,0.016446419060230255,0.03955078125
cosine_vp_as_ve,20260526,1.1155121402101058,0.6671367883682251,0.6450485587120056,0.022152602672576904,0.055908203125
cosine_vp_as_ve,20260526,1.2281728451698428,0.7515444755554199,0.7317624688148499,0.022014539688825607,0.060791015625
cosine_vp_as_ve,20260526,1.3522116732216651,0.9899464845657349,0.979357123374939,0.018866080790758133,0.078125
cosine_vp_as_ve,20260526,1.4887777533821611,1.1813960075378418,1.1649465560913086,0.014556759037077427,0.1015625
cosine_vp_as_ve,20260526,1.6391362704959387,1.385584831237793,1.367811679840088,0.012601456604897976,0.125244140625
cosine_vp_as_ve,20260526,1.804680186247825,1.6559600830078125,1.645385503768921,0.010998992249369621,0.143310546875
cosine_vp_as_ve,20260526,1.9869431439340202,1.9282400608062744,1.9168651103973389,0.009850525297224522,0.169921875
cosine_vp_as_ve,20260526,2.18761367654549,2.0877554416656494,2.081702947616577,0.009880445897579193,0.183837890625
cosine_vp_as_ve,20260526,2.4085508497910983,2.366499900817871,2.3591485023498535,0.009667860344052315,0.202880859375
cosine_vp_as_ve,20260526,2.651801484981615,2.6376450061798096,2.625523567199707,0.010485241189599037,0.2275390625
cosine_vp_as_ve,20260526,2.9196191213320715,2.8042240142822266,2.795206069946289,0.011999320238828659,0.24951171875
cosine_vp_as_ve,20260526,3.21448489335428,3.059026002883911,3.044053316116333,0.013383331708610058,0.279296875
cosine_vp_as_ve,20260526,3.5391305167533327,3.107573986053467,3.100538969039917,0.012820303440093994,0.281982421875
cosine_vp_as_ve,20260526,3.896563595775542,3.271446704864502,3.2562856674194336,0.01241761352866888,0.29345703125
cosine_vp_as_ve,20260526,4.290095486461946,3.5517849922180176,3.5367543697357178,0.013929993845522404,0.332275390625
cosine_vp_as_ve,20260526,4.723371973940028,3.6367859840393066,3.6119227409362793,0.016924742609262466,0.34423828125
cosine_vp_as_ve,20260526,5.200407047956278,3.6480324268341064,3.6289215087890625,0.02148396521806717,0.34716796875
cosine_vp_as_ve,20260526,5.72562008955526,3.7037928104400635,3.6848318576812744,0.024516889825463295,0.3583984375
cosine_vp_as_ve,20260526,6.303876813412554,3.8348264694213867,3.8144123554229736,0.024365201592445374,0.375732421875
cosine_vp_as_ve,20260526,6.940534345122285,3.9410641193389893,3.9275426864624023,0.021572986617684364,0.388916015625
cosine_vp_as_ve,20260526,7.6414908510474175,3.968824863433838,3.963465929031372,0.018702760338783264,0.403564453125
cosine_vp_as_ve,20260526,8.413240180517057,4.019168376922607,3.9974863529205322,0.019851896911859512,0.413818359375
cosine_vp_as_ve,20260526,9.262932026590663,4.079445838928223,4.042590141296387,0.022867634892463684,0.42626953125
cosine_vp_as_ve,20260526,10.198438162734806,4.126915454864502,4.118155479431152,0.02595635876059532,0.435546875
cosine_vp_as_ve,20260526,11.228425369046683,4.111898422241211,4.081583023071289,0.02762516587972641,0.4365234375
cosine_vp_as_ve,20260526,12.362435723632643,4.146796226501465,4.132506370544434,0.02712438255548477,0.44189453125
cosine_vp_as_ve,20260526,13.610975002982464,4.233351230621338,4.186963081359863,0.0272239837795496,0.440673828125
cosine_vp_as_ve,20260526,14.985610010304342,4.18880558013916,4.166782855987549,0.029321257025003433,0.455322265625
cosine_vp_as_ve,20260526,16.499075733496387,4.234022617340088,4.189115524291992,0.03499395772814751,0.461669921875
cosine_vp_as_ve,20260526,18.16539332549472,4.291624069213867,4.243851661682129,0.05030614882707596,0.455078125
cosine_vp_as_ve,20260526,19.999999999999996,4.30108642578125,4.231935024261475,0.0731087252497673,0.460693359375
linear_gamma_as_ve,20260526,0.010000000000000005,0.0077085415832698345,0.00010076811304315925,0.007650116924196482,0.0
